FiscalCode,FullName,CardNumber,Active
MLLSNT82P65Z404U,Samantha Miller,beeda49c-e4d2-40e4-a244-7d3a23fa1c67,TRUE
MRTMTT91D08F205J,Matteo Moretti,e1b68caf-c092-433e-babd-b632127a45da,FALSE
FNTRNL08R16F205O,Ernelio Fantoni,10a20bef-e267-4235-911a-b1224abbeee3,TRUE
FNIMNV03D51D612I,Marianeve Fini,24c754b7-6c55-4176-9b02-77213db54d21,TRUE
GRSFDN07S24A944E,Frediano Grosso,065f5e2d-e1a0-4300-a0ef-0e907c330006,TRUE
BRNLGR04L68A662K,Allegra Bruno,9f6d3768-36ff-4cd9-9235-5357db175d04,FALSE
MGGKAI03B51D612N,Aiko Maggi,cd0455a4-f715-4932-9881-47c1d022e9b9,TRUE
LGRMHL98C28F892V,Michele La Greca,hsdvuj-3682tv-23yg28d-32yebidy82-32e23e,TRUE
LGRNDR84F63R273R,Andrea La Greca,hdskvb-3847-wfdkhbl-324-afdfa,TRUE
ABCDEF07S24A944E,Ciccio,dhwbvljibvjlksbvlsadv,TRUE
AAAADR84F63R273R,Ciaone,sdhvhusbdv,TRUE
BBBADR84F63R273R,Cianoeeee,aaadddddddd,TRUE
CCCCDR84F63R273R,jhsckbsvbh,"dvbjsd,v",TRUE
EEEEDR84F63R273R,ajcbjbv,sdvkbsd,TRUE
FFFFDR84F63R273R,avjhdahahahhahahhaha,skjdvbslvjbsjvbslkvb,TRUE
HHHHDR84F63R273R,ppqpqpqpqppq,sdvbjksvd,TRUE
IIIIDR84F63R273R,ioqoioiqioq,qddwfqfd,TRUE
LLLLDR84F63R273R,kjsksk83838838,oakoko,TRUE
MMMMDR84F63R273R,0qwdncdbc,sdj,TRUE
NNNNDR84F63R273R,ssjjssjs,jsjjsjs,TRUE
OOOODR84F63R273R,sjsjsj,kkkkk,TRUE
